bin_index,bin_from,bin_to,interpolation,Peril,IMT
1,0,0.1,0.05,WTC,PGWS_tcy:m/s
2,0.1,0.2,0.15,WTC,PGWS_tcy:m/s
3,0.2,0.3,0.25,WTC,PGWS_tcy:m/s
4,0.3,0.4,0.35,WTC,PGWS_tcy:m/s
5,0.4,0.5,0.45,WTC,PGWS_tcy:m/s
6,0.5,0.6,0.55,WTC,PGWS_tcy:m/s
7,0.6,0.7,0.65,WTC,PGWS_tcy:m/s
8,0.7,0.8,0.75,WTC,PGWS_tcy:m/s
9,0.8,0.9,0.85,WTC,PGWS_tcy:m/s
10,0.9,1,0.95,WTC,PGWS_tcy:m/s
11,1,1.1,1.05,WTC,PGWS_tcy:m/s
12,1.1,1.2,1.15,WTC,PGWS_tcy:m/s
13,1.2,1.3,1.25,WTC,PGWS_tcy:m/s
14,1.3,1.4,1.35,WTC,PGWS_tcy:m/s
15,1.4,1.5,1.45,WTC,PGWS_tcy:m/s
16,1.5,1.6,1.55,WTC,PGWS_tcy:m/s
17,1.6,1.7,1.65,WTC,PGWS_tcy:m/s
18,1.7,1.8,1.75,WTC,PGWS_tcy:m/s
19,1.8,1.9,1.85,WTC,PGWS_tcy:m/s
20,1.9,2,1.95,WTC,PGWS_tcy:m/s
21,2,2.1,2.05,WTC,PGWS_tcy:m/s
22,2.1,2.2,2.15,WTC,PGWS_tcy:m/s
23,2.2,2.3,2.25,WTC,PGWS_tcy:m/s
24,2.3,2.4,2.35,WTC,PGWS_tcy:m/s
25,2.4,2.5,2.45,WTC,PGWS_tcy:m/s
26,2.5,2.6,2.55,WTC,PGWS_tcy:m/s
27,2.6,2.7,2.65,WTC,PGWS_tcy:m/s
28,2.7,2.8,2.75,WTC,PGWS_tcy:m/s
29,2.8,2.9,2.85,WTC,PGWS_tcy:m/s
30,2.9,3,2.95,WTC,PGWS_tcy:m/s
31,3,3.1,3.05,WTC,PGWS_tcy:m/s
32,3.1,3.2,3.15,WTC,PGWS_tcy:m/s
33,3.2,3.3,3.25,WTC,PGWS_tcy:m/s
34,3.3,3.4,3.35,WTC,PGWS_tcy:m/s
35,3.4,3.5,3.45,WTC,PGWS_tcy:m/s
36,3.5,3.6,3.55,WTC,PGWS_tcy:m/s
37,3.6,3.7,3.65,WTC,PGWS_tcy:m/s
